"path","fileType","purpose","directBugs","securityRisks","consistencyIssues","deadUnusedPatterns","missingValidation","buildTestRelevance","needsModification","status","skipReason"
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\197.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\198.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\199.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\200.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\201.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\202.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\203.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\204.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\205.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\播放控制\206.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\文件操作\191.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\文件操作\192.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\流操作\208.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\流操作\209.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\流操作\210.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\获取播放信息\212.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\获取播放信息\213.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\辅助函数\194.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\辅助函数\195.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\易视网函数\179.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\消息回调\118.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\用户注册\126.htm","htm","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\用户注册\127.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\视频抓图\136.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\获取错误信息\151.htm","htm","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\171.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\172.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\173.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\174.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\221.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\222.htm","htm","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\223.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\语音\语音广播\224.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\远程参数配置\通用参数配置\166.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\远程参数配置\通用参数配置\167.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\预览时声音控制\219.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\预览时声音控制\220.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\编程导引\146.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\编程导引\147.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\编程导引\148.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\编程导引\149.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\编程导引\150.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\contracts\UsersMaintenance\__IPC\user_user_list.xml_GET.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\deep-transcripts-10.0.0.227.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\deep-transcripts-10.0.0.29.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\deep-transcripts-10.0.0.4.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\deep-truth-sweep.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\deep-validation-10.0.0.227.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\deep-validation-10.0.0.29.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\deep-validation-10.0.0.4.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\deep-validation-2fff0b4d-94bd-4f9f-8bbe-a9aa5080a119.json","JSON config/data","audit artifact","","sensitive credential surface review; dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\deep-validation-4c0511ad-e0f6-4d10-ac2d-edbf534cc22f.json","JSON config/data","audit artifact","","sensitive credential surface review; dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\deep-validation-c2fe466a-5e79-4870-ab14-aa98b8d669af.json","JSON config/data","audit artifact","","sensitive credential surface review; dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\deep-validation-latest-10.0.0.29.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\devices-current.json","JSON config/data","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\final-truth-sweep.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\fixtures\5523w\__IPC\user_user_list.xml_GET.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\hidden-candidate-classification.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\hidden-candidate-priority-pass-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-pass-final-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-pass-probe-safe-write-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-pass-probe-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-pass-safe-write-truth-sweep.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-pass-truth-sweep.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-targeted-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\image-targeted-truth-sweep.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\ipcamsuite-mining\binary-semantic-hits.csv","CSV artifact","audit artifact","","sensitive credential surface review","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\ipcamsuite-mining\endpoint-clues.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\ipcamsuite-mining\enum-clues.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\ipcamsuite-mining\esee-endpoint-flow-hits.txt","txt","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\ipcamsuite-mining\esee-field-semantic-hits.txt","txt","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\ipcamsuite-mining\esee-js-semantic-hits.txt","txt","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\ipcamsuite-mining\source-files.txt","txt","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\ipcamsuite-mining\text-semantic-hits.csv","CSV artifact","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171228\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171228\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171228\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171228\summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171312\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171312\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171312\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171408\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171408\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171408\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171441\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171441\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171441\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171504\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171504\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171504\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171529\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171529\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171529\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171548\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171548\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171548\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171623\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171623\refresh-url.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-feed-smoke\20260424-171623\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171623\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\bossCam-refresh.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\bossCam-sources.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\bossCam-truth.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-171659\refresh-url.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-171659\summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-172233\bossCam-refresh.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-172233\bossCam-sources.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-172233\bossCam-truth.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
